kod_kreskowy;nazwa_produktu;cena;kod_produktu;ilość;dostępność
;Antiqua karnet, kremowy;0,46;687 136-2;0;WYCOFANY
;Antiqua koperta C6, szara;0,85;687 324-5;0;WYCOFANY
;Antiqua koperta C7, kremowa;1,2;687 134-2;0;
;Antiqua koperta C7, szara;1,2;687 134-5;0;
;Antiqua koperta DL kremowy;1,14;687 294-2;0;
;Antiqua koperta DL szary;1,14;687 294-5;0;
;Artoline A4-244 Miodowy;4,75;19779614-244;27;WYCOFANY
;Artoline A4-276 J. zielony;4,75;19779614-276;7;WYCOFANY
;Artoline A4-414 Niebieski;4,75;19779614-414;25;WYCOFANY
;Artoline A4-451 J. fioletowy;4,75;19779614-451;0;
;Artoline A4-543;4,75;19779614-543;28;WYCOFANY
;Artoz 1001 karnecik, bordowy;0,65;650 102-519;18;
;Artoz 1001 karnecik, j. kremowy;0,65;650 102-211;3;
;Artoz 1001 karnecik, j.czerwony;0,65;650 102-515;0;
;Artoz 1001 karnecik, kość słoniowa;0,65;650 102-240;4;
;Artoz 1001 karnecik, kremowy;0,65;650 102-241;0;
;Artoz 1001 karnet B7 brzoskwiniowy;0,57;650 196-571;5;WYCOFANY
;Artoz 1001 karnet B7 ceglasty;0,57;650 196-549;0;WYCOFANY
;Artoz 1001 karnet B7 czerwony;0,57;650 196-517;19;WYCOFANY
;Artoz 1001 karnet B7 granat;0,57;650 196-417;7;WYCOFANY
;Artoz 1001 karnet B7 j. kremowy;0,57;650 196-211;3;WYCOFANY
;Artoz 1001 karnet B7 j.czerwony;0,57;650 196-515;28;WYCOFANY
;Artoz 1001 karnet B7 j.fiolet;0,57;650 196-425;0;WYCOFANY
;Artoz 1001 karnet B7 j.zieleń;0,57;650 196-331;4;WYCOFANY
;Artoz 1001 karnet B7 liliowy;0,57;650 196-453;0;WYCOFANY
;Artoz 1001 karnet B7 miodowy;0,57;650 196-243;7;WYCOFANY
;Artoz 1001 karnet B7 nieb pastel;0,57;650 196-413;0;WYCOFANY
;Artoz 1001 karnet B7 nieb.król;0,57;650 196-427;79;WYCOFANY
;Artoz 1001 karnet B7 pomarańcz;0,57;650 196-545;68;WYCOFANY
;Artoz 1001 karnet B7 róż;0,57;650 196-481;0;
;Artoz 1001 karnet B7 słoneczny;0,57;650 196-247;24;WYCOFANY
;Artoz 1001 karnet B7 zieleń;0,57;650 196-337;40;WYCOFANY
;Artoz 1001 karnet DL błękit;1,55;650 292-391;0;
;Artoz 1001 karnet DL bordowy;1,55;650 292-519;0;
;Artoz 1001 karnet DL brzoskwiniowy;1,55;650 292-571;0;
;Artoz 1001 karnet DL c.morski;1,55;650 292-367;0;
;Artoz 1001 karnet DL c.zieleń;1,55;650 292-339;0;
